date,holiday
2020-04-23,CocukBayrami
2021-04-23,CocukBayrami
2022-04-23,CocukBayrami
2017-10-29,CumhuriyetBayrami
2018-10-29,CumhuriyetBayrami
2019-10-29,CumhuriyetBayrami
2020-10-29,CumhuriyetBayrami
2021-10-29,CumhuriyetBayrami
2017-05-19,GenclikBayrami
2018-05-19,GenclikBayrami
2019-05-19,GenclikBayrami
2020-05-19,GenclikBayrami
2021-05-19,GenclikBayrami
2022-05-19,GenclikBayrami
2017-03-08,InternationalWomensDay
2018-03-08,InternationalWomensDay
2019-03-08,InternationalWomensDay
2020-03-08,InternationalWomensDay
2021-03-08,InternationalWomensDay
2022-03-08,InternationalWomensDay
2017-05-01,IsciBayrami
2018-05-01,IsciBayrami
2019-05-01,IsciBayrami
2020-05-01,IsciBayrami
2021-05-01,IsciBayrami
2022-05-01,IsciBayrami
2017-08-25,KurbanArefe
2017-08-26,KurbanArefe
2017-08-27,KurbanArefe
2017-08-28,KurbanArefe
2017-08-29,KurbanArefe
2017-08-30,KurbanArefe
2017-08-31,KurbanArefe
2018-08-14,KurbanArefe
2018-08-15,KurbanArefe
2018-08-16,KurbanArefe
2018-08-17,KurbanArefe
2018-08-18,KurbanArefe
2018-08-19,KurbanArefe
2018-08-20,KurbanArefe
2019-08-04,KurbanArefe
2019-08-05,KurbanArefe
2019-08-06,KurbanArefe
2019-08-07,KurbanArefe
2019-08-08,KurbanArefe
2019-08-09,KurbanArefe
2019-08-10,KurbanArefe
2020-07-24,KurbanArefe
2020-07-25,KurbanArefe
2020-07-26,KurbanArefe
2020-07-27,KurbanArefe
2020-07-28,KurbanArefe
2020-07-29,KurbanArefe
2020-07-30,KurbanArefe
2021-07-13,KurbanArefe
2021-07-14,KurbanArefe
2021-07-15,KurbanArefe
2021-07-16,KurbanArefe
2021-07-17,KurbanArefe
2021-07-18,KurbanArefe
2021-07-19,KurbanArefe
2017-09-01,KurbanBayrami
2017-09-02,KurbanBayrami
2017-09-03,KurbanBayrami
2017-09-04,KurbanBayrami
2018-08-21,KurbanBayrami
2018-08-22,KurbanBayrami
2018-08-23,KurbanBayrami
2018-08-24,KurbanBayrami
2019-08-11,KurbanBayrami
2019-08-12,KurbanBayrami
2019-08-13,KurbanBayrami
2019-08-14,KurbanBayrami
2020-07-31,KurbanBayrami
2020-08-01,KurbanBayrami
2020-08-02,KurbanBayrami
2020-08-03,KurbanBayrami
2021-07-20,KurbanBayrami
2021-07-21,KurbanBayrami
2021-07-22,KurbanBayrami
2021-07-23,KurbanBayrami
2019-06-13,OkulKapanisi
2017-05-25,Ramazan1
2017-05-26,Ramazan1
2017-05-27,Ramazan1
2017-05-28,Ramazan1
2017-05-29,Ramazan1
2017-05-30,Ramazan1
2017-05-31,Ramazan1
2018-05-18,Ramazan1
2018-05-19,Ramazan1
2018-05-20,Ramazan1
2018-05-21,Ramazan1
2018-05-22,Ramazan1
2018-05-23,Ramazan1
2018-05-24,Ramazan1
2019-05-07,Ramazan1
2019-05-08,Ramazan1
2019-05-09,Ramazan1
2019-05-10,Ramazan1
2019-05-11,Ramazan1
2019-05-12,Ramazan1
2019-05-13,Ramazan1
2020-04-26,Ramazan1
2020-04-27,Ramazan1
2020-04-28,Ramazan1
2020-04-29,Ramazan1
2020-04-30,Ramazan1
2020-05-01,Ramazan1
2020-05-02,Ramazan1
2021-04-15,Ramazan1
2021-04-16,Ramazan1
2021-04-17,Ramazan1
2021-04-18,Ramazan1
2021-04-19,Ramazan1
2021-04-20,Ramazan1
2021-04-21,Ramazan1
2017-06-01,Ramazan2
2017-06-02,Ramazan2
2017-06-03,Ramazan2
2017-06-04,Ramazan2
2017-06-05,Ramazan2
2017-06-06,Ramazan2
2017-06-07,Ramazan2
2018-05-25,Ramazan2
2018-05-26,Ramazan2
2018-05-27,Ramazan2
2018-05-28,Ramazan2
2018-05-29,Ramazan2
2018-05-30,Ramazan2
2018-05-31,Ramazan2
2019-05-14,Ramazan2
2019-05-15,Ramazan2
2019-05-16,Ramazan2
2019-05-17,Ramazan2
2019-05-18,Ramazan2
2019-05-19,Ramazan2
2019-05-20,Ramazan2
2020-05-03,Ramazan2
2020-05-04,Ramazan2
2020-05-05,Ramazan2
2020-05-06,Ramazan2
2020-05-07,Ramazan2
2020-05-08,Ramazan2
2020-05-09,Ramazan2
2021-04-22,Ramazan2
2021-04-23,Ramazan2
2021-04-24,Ramazan2
2021-04-25,Ramazan2
2021-04-26,Ramazan2
2021-04-27,Ramazan2
2021-04-28,Ramazan2
2017-06-08,Ramazan3
2017-06-09,Ramazan3
2017-06-10,Ramazan3
2017-06-11,Ramazan3
2017-06-12,Ramazan3
2017-06-13,Ramazan3
2017-06-14,Ramazan3
2018-06-01,Ramazan3
2018-06-02,Ramazan3
2018-06-03,Ramazan3
2018-06-04,Ramazan3
2018-06-05,Ramazan3
2018-06-06,Ramazan3
2018-06-07,Ramazan3
2019-05-21,Ramazan3
2019-05-22,Ramazan3
2019-05-23,Ramazan3
2019-05-24,Ramazan3
2019-05-25,Ramazan3
2019-05-26,Ramazan3
2019-05-27,Ramazan3
2020-05-10,Ramazan3
2020-05-11,Ramazan3
2020-05-12,Ramazan3
2020-05-13,Ramazan3
2020-05-14,Ramazan3
2020-05-15,Ramazan3
2020-05-16,Ramazan3
2021-04-29,Ramazan3
2021-04-30,Ramazan3
2021-05-01,Ramazan3
2021-05-02,Ramazan3
2021-05-03,Ramazan3
2021-05-04,Ramazan3
2021-05-05,Ramazan3
2017-06-15,RamazanArefe
2017-06-16,RamazanArefe
2017-06-17,RamazanArefe
2017-06-18,RamazanArefe
2017-06-19,RamazanArefe
2017-06-20,RamazanArefe
2017-06-21,RamazanArefe
2018-06-08,RamazanArefe
2018-06-09,RamazanArefe
2018-06-10,RamazanArefe
2018-06-11,RamazanArefe
2018-06-12,RamazanArefe
2018-06-13,RamazanArefe
2018-06-14,RamazanArefe
2019-05-28,RamazanArefe
2019-05-29,RamazanArefe
2019-05-30,RamazanArefe
2019-05-31,RamazanArefe
2019-06-01,RamazanArefe
2019-06-02,RamazanArefe
2019-06-03,RamazanArefe
2020-05-17,RamazanArefe
2020-05-18,RamazanArefe
2020-05-19,RamazanArefe
2020-05-20,RamazanArefe
2020-05-21,RamazanArefe
2020-05-22,RamazanArefe
2020-05-23,RamazanArefe
2021-05-06,RamazanArefe
2021-05-07,RamazanArefe
2021-05-08,RamazanArefe
2021-05-09,RamazanArefe
2021-05-10,RamazanArefe
2021-05-11,RamazanArefe
2021-05-12,RamazanArefe
2017-06-22,RamazanBayrami
2017-06-23,RamazanBayrami
2017-06-24,RamazanBayrami
2017-06-25,RamazanBayrami
2017-06-26,RamazanBayrami
2017-06-27,RamazanBayrami
2017-06-28,RamazanBayrami
2018-06-15,RamazanBayrami
2018-06-16,RamazanBayrami
2018-06-17,RamazanBayrami
2018-06-18,RamazanBayrami
2018-06-19,RamazanBayrami
2018-06-20,RamazanBayrami
2018-06-21,RamazanBayrami
2019-06-04,RamazanBayrami
2019-06-05,RamazanBayrami
2019-06-06,RamazanBayrami
2019-06-07,RamazanBayrami
2019-06-08,RamazanBayrami
2019-06-09,RamazanBayrami
2019-06-10,RamazanBayrami
2020-05-24,RamazanBayrami
2020-05-25,RamazanBayrami
2020-05-26,RamazanBayrami
2020-05-27,RamazanBayrami
2020-05-28,RamazanBayrami
2020-05-29,RamazanBayrami
2020-05-30,RamazanBayrami
2021-05-13,RamazanBayrami
2021-05-14,RamazanBayrami
2021-05-15,RamazanBayrami
2021-05-16,RamazanBayrami
2021-05-17,RamazanBayrami
2021-05-18,RamazanBayrami
2021-05-19,RamazanBayrami
2017-06-29,RamazanSonrasi
2017-06-30,RamazanSonrasi
2017-07-01,RamazanSonrasi
2017-07-02,RamazanSonrasi
2017-07-03,RamazanSonrasi
2017-07-04,RamazanSonrasi
2017-07-05,RamazanSonrasi
2018-06-22,RamazanSonrasi
2018-06-23,RamazanSonrasi
2018-06-24,RamazanSonrasi
2018-06-25,RamazanSonrasi
2018-06-26,RamazanSonrasi
2018-06-27,RamazanSonrasi
2018-06-28,RamazanSonrasi
2019-06-11,RamazanSonrasi
2019-06-12,RamazanSonrasi
2019-06-13,RamazanSonrasi
2019-06-14,RamazanSonrasi
2019-06-15,RamazanSonrasi
2019-06-16,RamazanSonrasi
2019-06-17,RamazanSonrasi
2020-05-31,RamazanSonrasi
2020-06-01,RamazanSonrasi
2020-06-02,RamazanSonrasi
2020-06-03,RamazanSonrasi
2020-06-04,RamazanSonrasi
2020-06-05,RamazanSonrasi
2020-06-06,RamazanSonrasi
2021-05-20,RamazanSonrasi
2021-05-21,RamazanSonrasi
2021-05-22,RamazanSonrasi
2021-05-23,RamazanSonrasi
2021-05-24,RamazanSonrasi
2021-05-25,RamazanSonrasi
2021-05-26,RamazanSonrasi
2021-07-23,RepublicDay
2021-08-30,RepublicDay
2021-10-29,RepublicDay
2021-11-26,RepublicDay
2022-02-14,RepublicDay
2018-06-24,Secim
2019-06-20,Secim
2017-05-24,Specialworkingday249
2018-06-11,Specialworkingday249
2020-09-22,Specialworkingday249
2020-07-31,StMarysDay
2020-08-30,StMarysDay
2021-02-14,StMarysDay
2021-05-09,StMarysDay
2021-07-21,StMarysDay
2021-07-22,StMarysDayHoliday
2017-06-08,StVitusDay
2017-06-10,StVitusDay
2017-06-12,StVitusDay
2017-06-14,StVitusDay
2017-06-16,StVitusDay
2017-01-01,StatehoodDay
2017-01-06,StatehoodDay
2017-01-09,StatehoodDay
2017-01-14,StatehoodDay
2017-02-14,StatehoodDay
2017-03-01,StatehoodDay
2017-03-08,StatehoodDay
2021-12-26,StatehoodDay
2021-12-31,StatehoodDay
2018-05-18,VisuallyImpairedPeopleDay
2018-05-20,VisuallyImpairedPeopleDay
2018-05-22,VisuallyImpairedPeopleDay
2018-05-26,VisuallyImpairedPeopleDay
2018-05-27,VisuallyImpairedPeopleDay
2017-09-05,WhitMonday
2017-09-06,WhitMonday
2019-01-02,WhitMonday
2019-01-24,WhitMonday
2020-01-24,WhitMonday
2020-02-19,WhitMonday
2020-02-27,WhitMonday
2020-03-08,WhitMonday
2020-05-09,WhitMonday
2020-05-11,WhitMonday
2017-02-23,WhitSunday
2017-08-27,WhitSunday
2018-06-15,WhitSunday
2018-12-24,WhitSunday
2019-08-16,WhitSunday
2017-01-01,YouthDay
2017-01-02,YouthDay
2017-01-07,YouthDay
2022-11-25,YouthDay
2023-05-14,YouthDay
2015-11-27,black_friday
2016-11-25,black_friday
2017-11-24,black_friday
2018-11-23,black_friday
2019-11-29,black_friday
2020-11-27,black_friday
2021-11-26,black_friday
2022-11-25,black_friday
2023-11-24,black_friday
2024-11-29,black_friday
2025-11-28,black_friday
2026-11-27,black_friday
2027-11-26,black_friday
2028-11-24,black_friday
2029-11-23,black_friday
2015-06-21,fathers_day
2016-06-19,fathers_day
2017-06-18,fathers_day
2018-06-17,fathers_day
2019-06-16,fathers_day
2020-06-21,fathers_day
2021-06-20,fathers_day
2022-06-19,fathers_day
2023-06-18,fathers_day
2024-06-16,fathers_day
2025-06-15,fathers_day
2026-06-21,fathers_day
2027-06-20,fathers_day
2028-06-18,fathers_day
2029-06-17,fathers_day
2015-05-10,mothers_day
2016-05-08,mothers_day
2017-05-14,mothers_day
2018-05-13,mothers_day
2019-05-12,mothers_day
2020-05-10,mothers_day
2021-05-09,mothers_day
2022-05-08,mothers_day
2023-05-14,mothers_day
2024-05-12,mothers_day
2025-05-11,mothers_day
2026-05-10,mothers_day
2027-05-09,mothers_day
2028-05-14,mothers_day
2029-05-13,mothers_day
2015-01-01,new_years
2016-01-01,new_years
2017-01-01,new_years
2018-01-01,new_years
2019-01-01,new_years
2020-01-01,new_years
2021-01-01,new_years
2022-01-01,new_years
2023-01-01,new_years
2024-01-01,new_years
2025-01-01,new_years
2026-01-01,new_years
2027-01-01,new_years
2028-01-01,new_years
2029-01-01,new_years
2015-12-30,new_years_eve
2015-12-31,new_years_eve
2016-12-30,new_years_eve
2016-12-31,new_years_eve
2017-12-30,new_years_eve
2017-12-31,new_years_eve
2018-12-30,new_years_eve
2018-12-31,new_years_eve
2019-12-30,new_years_eve
2019-12-31,new_years_eve
2020-12-30,new_years_eve
2020-12-31,new_years_eve
2021-12-30,new_years_eve
2021-12-31,new_years_eve
2022-12-30,new_years_eve
2022-12-31,new_years_eve
2023-12-30,new_years_eve
2023-12-31,new_years_eve
2024-12-30,new_years_eve
2024-12-31,new_years_eve
2025-12-30,new_years_eve
2025-12-31,new_years_eve
2026-12-30,new_years_eve
2026-12-31,new_years_eve
2027-12-30,new_years_eve
2027-12-31,new_years_eve
2028-12-30,new_years_eve
2028-12-31,new_years_eve
2029-12-30,new_years_eve
2029-12-31,new_years_eve
2017-02-14,valentines_day
2018-02-14,valentines_day
2019-02-14,valentines_day
2020-02-14,valentines_day
2021-02-14,valentines_day
2022-02-14,valentines_day
2023-02-14,valentines_day
2024-02-14,valentines_day
2025-02-14,valentines_day
2026-02-14,valentines_day
2027-02-14,valentines_day
2028-02-14,valentines_day
2029-02-14,valentines_day
2015-03-08,womens_day
2016-03-08,womens_day
2017-03-08,womens_day
2018-03-08,womens_day
2019-03-08,womens_day
2020-03-08,womens_day
2021-03-08,womens_day
2022-03-08,womens_day
2023-03-08,womens_day
2024-03-08,womens_day
2025-03-08,womens_day
2026-03-08,womens_day
2027-03-08,womens_day
2028-03-08,womens_day
2029-03-08,womens_day
